,census_tract,cluster_label
0,45019000100,mild
1,45019000200,mild
2,45019000400,mild
3,45019000500,mild
4,45019000600,mild
5,45019000700,mild
6,45019000900,most
7,45019001000,mild
8,45019001100,most
9,45019001500,mild
10,45019001901,mild
11,45019001902,mild
12,45019002002,mild
13,45019002004,less
14,45019002005,mild
15,45019002006,less
16,45019002007,less
17,45019002008,mild
18,45019002009,less
19,45019002103,mild
20,45019002104,less
21,45019002105,less
22,45019002106,mild
23,45019002107,mild
24,45019002108,mild
25,45019002200,mild
26,45019002300,mild
27,45019002401,mild
28,45019002402,most
29,45019002503,mild
30,45019002504,mild
31,45019002604,mild
32,45019002605,less
33,45019002606,mild
34,45019002611,most
35,45019002612,most
36,45019002613,mild
37,45019002614,less
38,45019002701,mild
39,45019002702,most
40,45019002801,less
41,45019002802,less
42,45019002900,mild
43,45019003000,less
44,45019003104,most
45,45019003105,most
46,45019003106,mild
47,45019003107,mild
48,45019003108,mild
49,45019003109,mild
50,45019003110,most
51,45019003111,most
52,45019003113,mild
53,45019003115,mild
54,45019003116,mild
55,45019003117,mild
56,45019003200,mild
57,45019003300,most
58,45019003400,most
59,45019003500,mild
60,45019003600,mild
61,45019003700,most
62,45019003800,most
63,45019003900,mild
64,45019004000,most
65,45019004300,most
66,45019004400,most
67,45019004607,less
68,45019004609,less
69,45019004610,less
70,45019004612,less
71,45019004613,mild
72,45019004614,less
73,45019004615,less
74,45019004616,less
75,45019004617,less
76,45019004618,less
77,45019004619,less
78,45019004620,less
79,45019004621,mild
80,45019004622,less
81,45019004701,less
82,45019004702,less
83,45019004800,mild
84,45019004901,less
85,45019004902,less
86,45019005001,less
87,45019005002,mild
88,45019005100,most
89,45019005300,most
90,45019005400,most
91,45019005500,most
92,45019005601,less
93,45019005602,mild
94,45019005701,less
95,45019005702,mild
96,45019005800,mild
97,45019005900,less
